player 1,player 2,minutes,plus-minus,points scored,offensive possession,turnovers,offensive rebounds,defensive rebounds given,2-pt made,2-pt missed,3-pt made,3-pt missed,assists,free-throw attempt,points givens,defensive possession,turnovers forced,offensive rebounds given,defensive rebounds,2-pt made given,2-pt missed given,3-pt made given,3-pt missed given,assists given,free-throw attempt given
"DAVIS,EVAN","PRESIDENT,MILES",03:16:06,54,374,318,58,39,94,97,80,39,47,63,75,320,310,46,44,127,71,92,38,69,55,89
"HALL,RILEY","KUSCH,RYAN",01:09:20,17,132,116,25,18,31,41,31,8,13,26,33,115,122,25,9,46,32,32,11,15,19,34
"MORRIS,KENDRICK","MKPADO,KELE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELY,JACK","SUI,MARK",00:01:12,-5,0,2,1,0,1,0,1,0,0,0,0,5,3,0,0,1,1,1,1,0,1,0
"SCARLETT,MICHAEL","ELY,JACK",07:15:44,36,760,720,141,102,234,223,185,56,122,134,206,724,727,151,74,266,179,176,74,131,119,203
"MORRIS,KENDRICK","LEVINE,JD",00:24:39,-15,34,39,7,6,14,8,10,5,12,9,4,49,42,12,9,10,8,17,7,3,8,12
"KUSCH,RYAN","KIRSCH,MAXWELL",00:28:10,-11,38,45,11,6,18,9,14,5,10,8,6,49,50,9,6,19,16,13,2,7,7,18
"GARVIN,SAM","WALKER,GEORGE",00:01:41,-3,1,3,1,0,2,0,1,0,0,0,2,4,3,1,0,0,0,0,0,0,0,4
"KIRSCH,MAXWELL","WALKER,GEORGE",00:03:28,1,5,6,0,3,3,2,4,0,2,1,2,4,6,2,1,2,1,2,0,0,0,3
"KIRSCH,MAXWELL","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LYNDS,SCOTT","MORRIS,KENDRICK",03:40:42,93,442,376,81,55,105,115,86,47,61,88,98,349,354,56,34,149,83,104,45,72,69,72
"MKPADO,KELE","WALKER,GEORGE",00:08:11,2,14,13,1,3,6,2,6,2,2,3,6,12,13,5,1,3,1,3,1,0,1,9
"SUI,MARK","KEINAN,DANIEL",00:01:32,-2,2,3,1,1,1,1,1,0,1,0,0,4,3,1,0,0,1,0,0,0,0,2
"KIRSCH,MAXWELL","KEINAN,DANIEL",00:01:54,-1,3,3,0,3,1,1,2,0,2,0,2,4,3,0,0,1,1,1,0,0,0,2
"HALL,RILEY","HORN,JEREMY",00:41:59,10,74,71,8,12,31,18,24,10,17,13,11,64,73,11,9,35,21,23,4,16,11,16
"ELY,JACK","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SCARLETT,MICHAEL","GARVIN,SAM",00:03:54,4,6,6,0,1,3,3,3,0,1,1,0,2,6,0,0,5,1,2,0,3,0,0
"DAVIS,EVAN","MYERS,PATRICK",01:56:53,-10,192,184,40,26,62,53,51,20,25,39,45,202,186,34,25,66,49,53,23,35,35,48
"SCARLETT,MICHAEL","SUI,MARK",00:02:33,10,12,5,0,2,0,3,0,2,2,3,0,2,4,0,0,2,1,3,0,0,0,0
"HALL,RILEY","LEVINE,JD",00:34:53,2,61,56,8,7,17,16,13,8,14,16,6,59,56,9,5,24,11,16,10,12,11,10
"PRESIDENT,MILES","ELY,JACK",05:29:16,-2,563,539,111,76,169,170,144,36,79,101,159,565,535,102,65,192,144,132,59,101,98,141
"PRESIDENT,MILES","KIRSCH,MAXWELL",01:23:52,-2,150,138,26,15,44,41,42,16,17,31,24,152,139,20,16,54,37,33,15,32,27,42
"MYERS,PATRICK","GARVIN,SAM",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEVINE,JD","WALKER,GEORGE",00:03:02,4,8,4,0,0,1,0,1,2,0,2,2,4,4,2,0,1,0,1,1,0,1,2
"HALL,RILEY","MADDOCK,ANDREW",00:26:09,11,45,41,13,4,8,11,7,6,5,7,8,34,40,5,4,20,7,13,3,10,4,12
"SCARLETT,MICHAEL","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAVIS,EVAN","HALL,RILEY",04:25:07,76,483,428,77,57,140,133,107,49,77,89,95,407,421,68,49,178,90,122,50,94,67,103
"HALL,RILEY","SUI,MARK",00:00:50,5,5,2,0,0,0,1,0,1,0,1,0,0,2,0,0,2,0,0,0,1,0,2
"MYERS,PATRICK","SCARLETT,MICHAEL",04:31:34,3,440,427,78,53,155,117,116,44,77,88,104,437,428,91,52,154,105,108,47,86,80,112
"PRESIDENT,MILES","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEVINE,JD","KIRSCH,MAXWELL",00:31:22,-13,48,48,7,11,14,14,17,5,11,10,8,61,51,10,10,15,13,16,5,7,8,25
"KUSCH,RYAN","HORN,JEREMY",00:19:23,-2,32,34,12,2,7,10,7,4,3,9,0,34,33,4,2,15,10,11,2,2,6,13
"HALL,RILEY","KIRSCH,MAXWELL",00:16:31,-4,24,27,5,1,12,8,9,2,5,4,3,28,30,6,1,10,4,2,4,8,4,14
"PRESIDENT,MILES","MKPADO,KELE",00:00:44,1,2,2,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2
"MADDOCK,ANDREW","WALKER,GEORGE",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYERS,PATRICK","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KUSCH,RYAN","MORRIS,KENDRICK",00:49:13,1,85,80,17,15,25,26,24,4,12,12,27,84,85,16,9,31,24,20,7,13,13,27
"LYNDS,SCOTT","SUI,MARK",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GARVIN,SAM","MKPADO,KELE",00:02:26,-2,4,4,1,0,2,0,1,1,0,1,2,6,5,1,0,1,1,1,0,0,0,4
"MORRIS,KENDRICK","SUI,MARK",00:03:56,13,17,8,1,2,0,4,0,3,2,4,0,4,8,0,0,5,2,4,0,1,0,2
"HALL,RILEY","PRESIDENT,MILES",10:16:58,181,1188,1029,200,139,305,314,246,116,163,224,280,1007,1001,177,114,391,239,273,115,201,180,252
"PRESIDENT,MILES","LEVINE,JD",00:19:27,18,40,31,3,5,6,10,10,6,3,9,3,22,31,8,5,15,4,11,2,9,4,10
"KUSCH,RYAN","KEINAN,DANIEL",00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
